"No.","Delta-time","Time","Source","Destination","Protocol","Length","Info"
"4405","0.008113100","12.768072100","20.207.73.82","192.168.1.2","TLSv1.2","1490","[TCP Out-Of-Order] , Ignored Unknown Record"
"4406","0.000000000","12.768072100","20.207.73.82","192.168.1.2","TLSv1.2","1490","Ignored Unknown Record"
"4407","0.000000000","12.768072100","20.207.73.82","192.168.1.2","TLSv1.2","1490","Ignored Unknown Record"
"4408","0.000000000","12.768072100","20.207.73.82","192.168.1.2","TLSv1.2","1490","[TCP Out-Of-Order] , Application Data"
"4409","0.000139700","12.768211800","192.168.1.2","20.207.73.82","TCP","66","49670  >  443 [ACK] Seq=4066 Ack=106595 Win=65280 Len=0 SLE=108031 SRE=109467"
"4410","0.000090700","12.768302500","192.168.1.2","20.207.73.82","TCP","66","[TCP Dup ACK 4409#1] 49670  >  443 [ACK] Seq=4066 Ack=106595 Win=65280 Len=0 SLE=108031 SRE=110903"
"4411","0.000031500","12.768334000","192.168.1.2","20.207.73.82","TCP","66","[TCP Dup ACK 4409#2] 49670  >  443 [ACK] Seq=4066 Ack=106595 Win=65280 Len=0 SLE=108031 SRE=112339"
"4412","0.000047100","12.768381100","192.168.1.2","20.207.73.82","TCP","54","49670  >  443 [ACK] Seq=4066 Ack=112339 Win=130816 Len=0"
"4413","0.016029400","12.784410500","8.8.4.4","192.168.1.2","QUIC","65","Protected Payload (KP0)"
"4414","0.000000000","12.784410500","8.8.4.4","192.168.1.2","QUIC","70","Protected Payload (KP0)"
"4415","0.000000000","12.784410500","8.8.4.4","192.168.1.2","QUIC","573","Protected Payload (KP0)"
"4416","0.000000000","12.784410500","8.8.4.4","192.168.1.2","QUIC","64","Protected Payload (KP0)"
"4417","0.000000000","12.784410500","8.8.4.4","192.168.1.2","QUIC","571","Protected Payload (KP0)"
"4418","0.000000000","12.784410500","8.8.4.4","192.168.1.2","QUIC","64","Protected Payload (KP0)"
"4419","0.000000000","12.784410500","185.199.110.133","192.168.1.2","TCP","54","443  >  52086 [ACK] Seq=4917 Ack=2568 Win=155136 Len=0"
